frame_nbr,ball_pos_X,ball_pos_Y
71.0,1567.0510569371306,538.0080780252739
72.0,1567.0516600603253,538.0044680449703
73.0,1568.8656098198292,536.5914002891316
74.0,1564.079361210888,536.1317647651551
75.0,1563.5972445717216,536.6630821024405
76.0,1563.115127932555,537.194399439726
77.0,1563.0766813315706,537.6516030808799
78.0,1563.0725513951654,537.6524655225608
79.0,1562.836718925408,537.7875731193045
80.0,1554.3710402287202,565.9921645200163
81.0,1545.9053615320322,594.1967559207282
82.0,1537.4396828353445,622.40134732144
83.0,1528.9740041386567,650.6059387221517
84.0,1520.5083254419687,678.8105301228635
85.0,1512.042646745281,707.0151215235753
86.0,1512.4095483886422,706.7946811742934
87.0,1512.214933682052,706.8981402171787
88.0,1511.698964989673,707.367172367331
89.0,1507.9571108986133,712.8601382536574
90.0,1504.2152568075535,718.3531041399839
91.0,1500.4734027164939,723.8460700263104
92.0,1496.7315486254342,729.3390359126367
93.0,1491.515648672112,739.2690771972386
94.0,1487.3091829715113,748.1345978170174
95.0,1480.1760168301066,758.195844283438
96.0,1480.1763053713605,758.1958252073513
97.0,1475.615152823356,766.4606780967831
98.0,1470.8988668084842,775.1432717300977
99.0,1465.538792350569,783.3959488784137
100.0,1461.026218935957,791.1466641939473
101.0,1456.7394848032593,798.7187293446639
102.0,1456.7408307677993,798.718372591963
103.0,1452.708661932964,805.0018385449241
104.0,1451.0228187004366,805.9707586048792
105.0,1448.269231399213,812.5338574722946
106.0,1442.1237763684485,820.9988453866385
107.0,1439.715626514727,826.8069028848447
108.0,1439.7262878895774,826.8199813364835
109.0,1435.5393447251258,833.6002594952917
110.0,1428.1901672336369,847.210551575517
111.0,1428.3406250877613,846.4170490452082
112.0,1426.1635082211794,852.5092862245657
113.0,1422.7515157045575,858.0567637898598
114.0,1422.7460014447845,858.0605154428222
115.0,1418.2166586887704,864.1866794872955
116.0,1411.6538624031557,873.4415501018881
117.0,1413.671414975976,873.501417905922
118.0,1411.7719690041536,878.4787695309351
119.0,1409.0314408883053,883.0188768627119
120.0,1409.022188856489,883.025241455104
121.0,1405.6044500325718,888.4637226377573
