frame_nbr ,player_ID ,player_pos_X        ,player_pos_Y        ,player_team ,assigned_id
      6.0 ,     11.0 ,1095.8825544333276  , 670.1021605218855  ,Chelsea     ,-1.0
      6.0 ,     12.0 , 843.576753380014   , 700.6116535657058  ,Man City    ,-1.0
      6.0 ,     13.0 , 976.2685730544504  , 858.5708594408931  ,Chelsea     ,-1.0
      6.0 ,     14.0 , 833.8348302842205  , 835.874084712071   ,Man City    ,-1.0
      6.0 ,     16.0 , 926.1463335086323  , 714.2811462157977  ,Man City    ,-1.0
      6.0 ,     17.0 ,1156.5587056298925  , 792.3286722831448  ,Man City    ,-1.0
      6.0 ,     18.0 ,1082.3108105475733  , 479.2976092508096  ,Chelsea     ,-1.0
      6.0 ,     19.0 ,1172.444027112488   , 778.2617130273887  ,Man City    ,-1.0
      6.0 ,     20.0 ,1223.4561767305818  , 857.0419658690577  ,Chelsea     ,-1.0
      6.0 ,      9.0 ,1106.7039999300953  , 643.8306829270853  ,Chelsea     ,-1.0
      7.0 ,      1.0 ,1508.8971688861127  , 655.1303230169593  ,Chelsea     ,-1.0
      7.0 ,      2.0 ,1313.5122349299181  , 661.2694333770949  ,Chelsea     ,-1.0
      7.0 ,      3.0 , 987.9802110049097  , 986.9744170974521  ,Chelsea     ,-1.0
      7.0 ,      4.0 , 862.9638230495186  , 632.9498062539096  ,Man City    ,-1.0
      7.0 ,      5.0 , 420.795045211041   , 612.2430816735734  ,Man City    ,-1.0
      7.0 ,      6.0 , 879.1523315271895  , 925.3561403426097  ,Man City    ,-1.0
      7.0 ,      7.0 ,1236.7563507053844  , 663.429665974696   ,Man City    ,-1.0
      7.0 ,      8.0 , 954.1262590305843  , 554.9013041403113  ,Chelsea     ,-1.0
      7.0 ,     10.0 , 836.6077284292913  , 950.5023132119671  ,Chelsea     ,-1.0
      7.0 ,     11.0 ,1095.7985930709892  , 669.6933803088916  ,Chelsea     ,-1.0
      7.0 ,     12.0 , 844.8696163061097  , 699.9649686730613  ,Man City    ,-1.0
      7.0 ,     13.0 , 976.3642645685685  , 859.0312276177718  ,Chelsea     ,-1.0
      7.0 ,     14.0 , 833.7282186696876  , 835.366412753075   ,Man City    ,-1.0
      7.0 ,     16.0 , 926.0486338516155  , 713.8118226679287  ,Man City    ,-1.0
